5.135.17.28 - - [13/Mar/2016:09:03:30 +0000] "GET /xmlrpc.php HTTP/1.1" 401 203 "-" "-"
169.229.3.91 - - [13/Mar/2016:12:47:35 +0000] "b\x9E\xA8\xE3)Q4\x1DIX\x94v\x9DaW\x1C\xBC`8\xA2\x1B\x82\xE4\x04\x16s\x92\xCC\x8CDz\xD9<Q\xC7\xC5:1i4\xB3\x0B\x8F\xE2\x01[\xFC\xB1Z\x8BM\x04\xA5\xE9\x00{N\xE9\xD1\x154\x12\x9C\xBE" 400 181 "-" "-"
181.196.25.244 - - [13/Mar/2016:14:07:01 +0000] "HEAD / HTTP/1.0" 401 0 "-" "-"
40.115.22.150 - - [13/Mar/2016:15:48:20 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 401 203 "-" "ZmEu"
40.115.22.150 - - [13/Mar/2016:15:48:20 +0000] "GET /MyAdmin/scripts/setup.php HTTP/1.1" 401 203 "-" "ZmEu"
40.115.22.150 - - [13/Mar/2016:15:48:20 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.1" 401 203 "-" "ZmEu"
40.115.22.150 - - [13/Mar/2016:15:48:20 +0000] "GET /pma/scripts/setup.php HTTP/1.1" 401 203 "-" "ZmEu"
40.115.22.150 - - [13/Mar/2016:15:48:20 +0000] "GET /myadmin/scripts/setup.php HTTP/1.1" 401 203 "-" "ZmEu"
40.115.22.150 - - [13/Mar/2016:15:48:20 +0000] "GET /w00tw00t.at.blackhats.romanian.anti-sec:) HTTP/1.1" 401 203 "-" "ZmEu"
132.248.44.99 - - [13/Mar/2016:17:49:52 +0000] "GET /muieblackcat HTTP/1.1" 401 203 "-" "-"
132.248.44.99 - - [13/Mar/2016:17:49:52 +0000] "GET //phpMyAdmin/scripts/setup.php HTTP/1.1" 401 203 "-" "-"
132.248.44.99 - - [13/Mar/2016:17:49:52 +0000] "GET //phpmyadmin/scripts/setup.php HTTP/1.1" 401 203 "-" "-"
132.248.44.99 - - [13/Mar/2016:17:49:52 +0000] "GET //pma/scripts/setup.php HTTP/1.1" 401 203 "-" "-"
132.248.44.99 - - [13/Mar/2016:17:49:52 +0000] "GET //MyAdmin/scripts/setup.php HTTP/1.1" 401 203 "-" "-"
132.248.44.99 - - [13/Mar/2016:17:49:52 +0000] "GET //myadmin/scripts/setup.php HTTP/1.1" 401 203 "-" "-"
141.212.122.64 - - [13/Mar/2016:20:48:04 +0000] "GET /x HTTP/1.1" 400 181 "-" "Telesphoreo"
197.79.13.78 - - [14/Mar/2016:07:48:01 +0000] "GET /ui/ HTTP/1.1" 401 605 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:07:48:05 +0000] "GET /ui/ HTTP/1.1" 200 6426 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:07:48:06 +0000] "GET /ui/static/base.css HTTP/1.1" 200 39476 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:07:48:06 +0000] "GET /ui/static/bootstrap.min.css HTTP/1.1" 200 99962 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:07:48:07 +0000] "GET /ui/static/application.min.js HTTP/1.1" 200 767556 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - - [14/Mar/2016:07:48:09 +0000] "GET /v1/catalog/datacenters HTTP/1.1" 401 605 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:07:48:09 +0000] "GET /ui/static/loading-cylon-purple.svg HTTP/1.1" 200 983 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:07:48:10 +0000] "GET /v1/catalog/datacenters HTTP/1.1" 200 7 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - - [14/Mar/2016:07:48:10 +0000] "GET /v1/internal/ui/nodes?dc=dc1&token=undefined HTTP/1.1" 401 605 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:07:48:10 +0000] "GET /v1/catalog/datacenters HTTP/1.1" 200 7 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:07:48:10 +0000] "GET /v1/internal/ui/nodes?dc=dc1&token=undefined HTTP/1.1" 200 6483 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:07:48:11 +0000] "GET /v1/internal/ui/services?dc=dc1&token= HTTP/1.1" 200 1088 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:07:48:11 +0000] "GET /ui/static/consul-logo.png HTTP/1.1" 200 38387 "http://consul.tngnt.co/ui/static/base.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:07:48:14 +0000] "GET /v1/internal/ui/nodes?dc=dc1&token= HTTP/1.1" 200 6477 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:08:07:44 +0000] "GET /v1/internal/ui/services?dc=dc1&token= HTTP/1.1" 200 1097 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:08:07:44 +0000] "GET /v1/internal/ui/nodes?dc=dc1&token= HTTP/1.1" 200 11405 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:08:07:51 +0000] "GET /v1/catalog/datacenters HTTP/1.1" 200 7 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:08:07:51 +0000] "GET /v1/catalog/datacenters HTTP/1.1" 200 7 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:08:07:51 +0000] "GET /v1/internal/ui/nodes?dc=dc1&token=undefined HTTP/1.1" 200 11405 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:08:07:52 +0000] "GET /v1/internal/ui/services?dc=dc1&token= HTTP/1.1" 200 1097 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.13.78 - christo [14/Mar/2016:08:07:56 +0000] "GET /v1/internal/ui/nodes?dc=dc1&token= HTTP/1.1" 200 11405 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:08:36:46 +0000] "GET /v1/internal/ui/node/ELK-01?dc=dc1&token= HTTP/1.1" 200 2774 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:08:36:46 +0000] "GET /v1/internal/ui/node/ELK-01?dc=dc1&token= HTTP/1.1" 200 2774 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - - [14/Mar/2016:08:36:46 +0000] "GET /v1/session/node/ELK-01?dc=dc1&token= HTTP/1.1" 401 605 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:08:36:46 +0000] "GET /v1/session/node/ELK-01?dc=dc1&token= HTTP/1.1" 200 2 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:09:17:29 +0000] "GET /v1/internal/ui/services?dc=dc1&token= HTTP/1.1" 200 1382 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:04:34 +0000] "GET /v1/internal/ui/nodes?dc=dc1&token= HTTP/1.1" 200 9578 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:04:40 +0000] "GET /v1/internal/ui/node/Staging01?dc=dc1&token= HTTP/1.1" 200 3770 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:04:40 +0000] "GET /v1/internal/ui/node/Staging01?dc=dc1&token= HTTP/1.1" 200 3770 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:04:40 +0000] "GET /v1/session/node/Staging01?dc=dc1&token= HTTP/1.1" 200 2 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:05:20 +0000] "GET /ui/static/loading-cylon-purple.svg HTTP/1.1" 200 983 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:05:20 +0000] "GET /v1/catalog/datacenters HTTP/1.1" 200 7 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:05:20 +0000] "GET /v1/catalog/datacenters HTTP/1.1" 200 7 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:05:20 +0000] "GET /v1/internal/ui/nodes?dc=dc1&token=undefined HTTP/1.1" 200 9571 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:05:21 +0000] "GET /v1/internal/ui/services?dc=dc1&token= HTTP/1.1" 200 1382 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:05:22 +0000] "GET /ui/static/consul-logo.png HTTP/1.1" 200 38387 "http://consul.tngnt.co/ui/static/base.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - - [14/Mar/2016:10:05:51 +0000] "GET /v1/health/service/kong-admin?dc=dc1&token= HTTP/1.1" 401 605 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:05:52 +0000] "GET /v1/health/service/kong-admin?dc=dc1&token= HTTP/1.1" 200 698 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:32:47 +0000] "GET /v1/catalog/datacenters HTTP/1.1" 200 7 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:32:47 +0000] "GET /v1/catalog/datacenters HTTP/1.1" 200 7 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:32:47 +0000] "GET /v1/internal/ui/nodes?dc=dc1&token=undefined HTTP/1.1" 200 9613 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:32:48 +0000] "GET /v1/internal/ui/services?dc=dc1&token= HTTP/1.1" 200 1382 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:33:22 +0000] "GET /v1/health/service/logstash?dc=dc1&token= HTTP/1.1" 200 1041 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:33:26 +0000] "GET /v1/internal/ui/nodes?dc=dc1&token= HTTP/1.1" 200 9935 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
197.79.11.204 - christo [14/Mar/2016:10:33:34 +0000] "GET /v1/internal/ui/services?dc=dc1&token= HTTP/1.1" 200 1382 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
169.229.3.91 - - [14/Mar/2016:10:46:52 +0000] "\x0C\xAC\x90S\xF3So\xACX!\xA7\x18\xD5\x1A\xB5\x22o:\xF8\x80b\x1D\x7F?/9%2\xE7\xC4\xABhf\x5C\xEA\x04\x1D\x95AY#>w\xAEV\xC5\x05\xDB`\xFF]GRg_c\xC4-?\x00\xA3" 400 181 "-" "-"
178.216.200.48 - - [14/Mar/2016:11:05:05 +0000] "GET http://testp4.pospr.waw.pl/testproxy.php HTTP/1.1" 401 203 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
105.224.170.122 - christo [14/Mar/2016:11:52:00 +0000] "GET /v1/internal/ui/nodes?dc=dc1&token= HTTP/1.1" 200 9578 "http://consul.tngnt.co/ui/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - - [14/Mar/2016:11:56:15 +0000] "GET / HTTP/1.1" 401 605 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:21 +0000] "GET / HTTP/1.1" 200 151 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:21 +0000] "GET /app/kibana HTTP/1.1" 200 12548 "http://kibana.tngnt.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:21 +0000] "GET /favicon.ico HTTP/1.1" 404 69 "http://kibana.tngnt.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:22 +0000] "GET /bundles/commons.style.css?v=9732 HTTP/1.1" 200 37325 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:22 +0000] "GET /bundles/kibana.style.css?v=9732 HTTP/1.1" 200 31924 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:22 +0000] "GET /favicon.ico HTTP/1.1" 404 69 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:25 +0000] "GET /bundles/commons.bundle.js?v=9732 HTTP/1.1" 200 538920 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:29 +0000] "GET /bundles/kibana.bundle.js?v=9732 HTTP/1.1" 200 834421 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:34 +0000] "GET /bundles/src/ui/public/images/kibana.svg HTTP/1.1" 200 4248 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:34 +0000] "GET /bundles/node_modules/font-awesome/fonts/fontawesome-webfont.woff2 HTTP/1.1" 200 64464 "http://kibana.tngnt.co/bundles/commons.style.css?v=9732" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:34 +0000] "GET /bundles/src/ui/public/images/elk.ico HTTP/1.1" 200 111 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:34 +0000] "GET /bundles/src/ui/public/images/elk.ico HTTP/1.1" 200 111 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:34 +0000] "POST /elasticsearch/_mget?timeout=0&ignore_unavailable=true&preference=1457956596151 HTTP/1.1" 200 153 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:35 +0000] "POST /elasticsearch/.kibana/index-pattern/_search?fields= HTTP/1.1" 200 164 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:35 +0000] "GET /elasticsearch/.kibana/_mapping/*/field/_source?_=1457956597615 HTTP/1.1" 200 117 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:35 +0000] "POST /elasticsearch/_mget?timeout=0&ignore_unavailable=true&preference=1457956596151 HTTP/1.1" 200 464 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:36 +0000] "POST /elasticsearch/logstash-*/_field_stats?level=indices HTTP/1.1" 200 244 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - christo [14/Mar/2016:11:56:36 +0000] "POST /elasticsearch/_msearch?timeout=0&ignore_unavailable=true&preference=1457956596151 HTTP/1.1" 200 1038 "http://kibana.tngnt.co/app/kibana" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - - [14/Mar/2016:12:00:43 +0000] "GET /github/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
105.224.170.122 - - [14/Mar/2016:12:00:44 +0000] "GET /favicon.ico HTTP/1.1" 200 2 "http://logstash.tngnt.co/github/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"
192.30.252.41 - - [14/Mar/2016:12:02:11 +0000] "POST /github/tangentsolutions/ HTTP/1.1" 200 2 "-" "GitHub-Hookshot/7a65dd9"
